id,census_name,name
52790,Bethamcherla,Bethamcherla
53030,Chagalamarri,Chagalamarri
52890,Dhone,Dhone
52990,Dornipadu,Dornipadu
52810,Gadivemula,Gadivemula
52870,Gospadu,Gospadu
52620,Jupadu Bungalow,Jupadu Bungalow
52960,Koilkuntla,Koilkuntla
53010,Kolimigundla,Kolimigundla
49121,Kothapalle,Kothapalle
52850,Mahanandi,Mahanandi
52670,Midthur,Midthuru
52600,Nandikotkur,Nandikotkur
52840,Nandyal,Nandyal Rural
52841,Nandyal,Nandyal Urban
52950,Owk,Owk
52610,Pagidyala,Pagidyala
52660,Pamulapadu,Pamulapadu
52800,Panyam,Panyam
52940,Peapally,Peapally
52970,Rudravaram,Rudravaram
53000,Sanjamala,Sanjamala
52860,Sirvel,Sirvella
52640,Srisailam,Srisailam
53020,Uyyalawada,Uyyalawada
52820,Velgode,Velgodu
50520,Amaravathi,Amaravathi
50500,Atchampet,Atchampet
50490,Bellamkonda,Bellamkonda
50610,Bollapalle,Bollapalle
50700,"Chilakaluripet
 H/O.Purushotha Patnam",Chilakaluripet
50450,Dachepalle,Dachepalle
50420,Durgi,Durgi
50710,Edlapadu,Edlapadu
50440,Gurazala,Gurazala
50650,Ipur,Ipuru
50460,Karempudi,Karempudi
50510,Krosuru,Krosuru
50400,Macherla,Macharla
50480,Machavaram,Machavaram
50680,Muppalla,Muppalla
50690,Nadendla,Nadendla
50670,Narasaraopet,Narasaraopet
50600,Nekarikallu,Nekarikallu
50630,Nuzendla,Nuzendla
50570,Pedakurapadu,Pedakurapadu
50470,Piduguralla,Piduguralla
50590,Rajupalem,Rajupalem
50430,Rentachintala,Rentachintala
50580,Sattenapalle,Sattenapalle
50640,Savalyapuram H/O Kanamarlapudi,Savalyapuram
50620,Vinukonda,Vinukonda
48150,Balijipeta,Balijipeta
47710,Bhamini,Bhamini
48110,Garugubilli,Garugubilli
48080,Gummalakshmipuram,Gummalakshmipuram
48100,Jiyyammavalasa,Jiyyammavalasa
48070,Komarada,Komarada
48090,Kurupam,Kurupam
48130,Makkuva,Makkuva
48180,Pachipenta,Pachipenta
47840,Palakonda,Palakonda
48120,Parvathipuram,Parvathipuram
48170,Salur,Salur
47700,Seethampeta,Seethampeta
47690,Veeraghattam,Veeraghattam
51160,Ardhaveedu,Ardhaveedu
51310,Bestawaripeta,Bestawaripeta
51450,Chandra Sekhara Puram,Chandra Sekhara Puram
51280,Chimakurthi,Chimakurthi
51170,Cumbum,Cumbum
51140,Darsi,Darsi
51020,Donakonda,Donakonda
51000,Dornala,Dornala
51330,Giddalur,Giddalur
51300,Hanumanthuni Padu,Hanumanthuni Padu
51360,Kanigiri,Kanigiri
51340,Komarolu,Komarolu
51190,Konakanamitla,Konakanamitla
51370,Kondapi,Kondapi
51400,Kotha Patnam,Kotha Patnam
51030,Kurichedu,Kurichedu
51270,Maddipadu,Maddipadu
51150,Markapur,Markapuram
51290,Marripudi,Marripudi
51130,Mundlamuru,Mundlamuru
51260,Naguluppala Padu,Naguluppala Padu
51390,Ongole,Ongole Rural
51391,Ongole,Ongole Urban
51460,Pamur,Pamuru
51010,Peda  Araveedu,Peda Araveedu
51440,Pedacherlo Palle,Pedacherlo Palle
51200,Podili,Podili
51430,Ponnaluru,Ponnaluru
50980,Pullalacheruvu,Pullalacheruvu
51320,Racherla,Racherla
51380,Santhanuthala Padu,Santhanuthala Padu
51490,Singarayakonda,Singarayakonda
51410,Tangutur,Tangutur
51180,Tarlupadu,Tarlupadu
51210,Thallur,Thallur
50990,Tripuranthakam,Tripuranthakam
51350,Veligandla,Veligandla
50970,Yerragondapalem,Yerragondapalem
51420,Zarugumilli,Zarugumilli
51670,Allur,"Allur, Nellore district"
51730,Ananthasagaram,Ananthasagaram
51650,Anumasamudrampeta,Anumasamudrampeta
45921,Atmakur,Atmakuru
51590,Bogole,Bogolu
51700,Buchireddipalem,Buchireddypalem
51720,Chejerla,Chejerla
51660,Dagadarthi,Dagadarthi
51620,Duttalur,Duttaluru
51510,Gudluru,Gudluru
51790,Indukurpet,Indukurpet
